::1 - - [15/Apr/2026:11:48:40 +0530] "GET /testlink/ HTTP/1.1" 200 71 "-" "curl/8.16.0"
::1 - - [15/Apr/2026:11:48:40 +0530] "HEAD /testlink/ HTTP/1.1" 200 - "-" "curl/8.16.0"
::1 - - [15/Apr/2026:11:48:46 +0530] "GET /testlink/install/index.php HTTP/1.1" 200 2526 "-" "curl/8.16.0"
::1 - - [15/Apr/2026:11:49:15 +0530] "GET /testlink/install/installCheck.php?licenseOK=on HTTP/1.1" 200 4558 "-" "curl/8.16.0"
::1 - - [15/Apr/2026:11:49:29 +0530] "GET /testlink/install/index.php HTTP/1.1" 200 2526 "-" "curl/8.16.0"
::1 - - [15/Apr/2026:11:49:29 +0530] "GET /testlink/install/installIntro.php?type=new HTTP/1.1" 200 4340 "-" "curl/8.16.0"
::1 - - [15/Apr/2026:11:49:29 +0530] "GET /testlink/install/installCheck.php?licenseOK=on HTTP/1.1" 200 4693 "-" "curl/8.16.0"
::1 - - [15/Apr/2026:11:49:30 +0530] "POST /testlink/install/installNewDB.php HTTP/1.1" 200 2515 "-" "curl/8.16.0"
::1 - - [15/Apr/2026:11:49:41 +0530] "GET /testlink/index.php HTTP/1.1" 200 131 "-" "curl/8.16.0"
::1 - - [15/Apr/2026:11:49:52 +0530] "GET /testlink/login.php HTTP/1.1" 200 2188 "-" "curl/8.16.0"
::1 - - [15/Apr/2026:11:50:00 +0530] "POST /testlink/login.php?viewer= HTTP/1.1" 200 152 "-" "curl/8.16.0"
::1 - - [15/Apr/2026:11:50:05 +0530] "GET /testlink/index.php?caller=login&viewer= HTTP/1.1" 200 1029 "-" "curl/8.16.0"
::1 - - [15/Apr/2026:11:51:51 +0530] "GET /testlink/login.php HTTP/1.1" 200 2188 "-" "Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.7462"
::1 - - [15/Apr/2026:11:51:53 +0530] "POST /testlink/login.php?viewer= HTTP/1.1" 200 152 "-" "Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.7462"
::1 - - [15/Apr/2026:11:52:09 +0530] "GET /testlink/login.php HTTP/1.1" 200 2188 "-" "Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.7462"
::1 - - [15/Apr/2026:11:52:11 +0530] "POST /testlink/login.php?viewer= HTTP/1.1" 200 152 "-" "Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.7462"
::1 - - [15/Apr/2026:11:52:12 +0530] "GET /testlink/index.php?caller=login&viewer= HTTP/1.1" 200 1029 "-" "Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.7462"
::1 - - [15/Apr/2026:11:52:39 +0530] "GET /testlink/login.php HTTP/1.1" 200 2188 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
::1 - - [15/Apr/2026:11:52:40 +0530] "GET /testlink/gui/icons/font-awesome-4.5.0/css/font-awesome.min.css HTTP/1.1" 200 27466 "http://localhost/testlink/login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
